Player,Pos,ADP,Z,Tier,HR,RBI,R,SB,AVG,ERA,WHIP,K,W,SV
Bobby Witt Jr.,SS,3,13.67,1,28,89,99,24,0.293,-,-,106,-,-
Gunnar Henderson,SS/3B,16,10.16,1,28,84,101,18,0.275,-,-,135,-,-
Elly De La Cruz,SS,8,8.6,2,23,82,83,28,0.263,-,-,137,-,-
Trea Turner,SS,28,6.7,2,18,65,86,21,0.28,-,-,110,-,-
Francisco Lindor,SS,22,6.17,2,25,69,89,18,0.259,-,-,112,-,-
CJ Abrams,SS,67,6.11,2,18,72,82,24,0.276,-,-,135,-,-
Mookie Betts,SS/LF/CF,46,5.46,3,22,79,84,5,0.274,-,-,60,-,-
Zach Neto,SS,33,5.27,3,26,69,83,20,0.252,-,-,143,-,-
Maikel Garcia,2B/3B/SS,66,5.21,3,13,62,82,20,0.276,-,-,90,-,-
Bryson Stott,2B/SS,UD,4.8,3,15,72,82,16,0.284,-,-,115,-,-
Ha-Seong Kim,2B/SS,UD,4.41,3,18,72,78,17,0.268,-,-,105,-,-
Corey Seager,SS,87,3.94,3,25,75,72,2,0.276,-,-,83,-,-
Willy Adames,SS,113,3.93,4,28,86,84,5,0.259,-,-,158,-,-
Jeremy Pena,SS,92,3.67,4,18,82,78,8,0.279,-,-,115,-,-
Bo Bichette,SS,86,3.53,4,18,74,73,4,0.288,-,-,95,-,-
Alex Bregman,3B/SS,92,3.31,4,23,77,85,2,0.26,-,-,89,-,-
Ezequiel Tovar,SS,225,2.9,4,18,78,78,8,0.274,-,-,135,-,-
Geraldo Perdomo,SS,61,2.37,4,12,55,77,14,0.27,-,-,74,-,-
Brendan Donovan,2B/SS/LF,212,1.89,4,14,68,78,5,0.28,-,-,95,-,-
Xander Bogaerts,SS,256,1.89,5,18,75,78,5,0.276,-,-,128,-,-
Masyn Winn,SS,UD,1.45,5,16,69,72,8,0.261,-,-,107,-,-
Dansby Swanson,SS,146,0.34,5,22,78,78,5,0.253,-,-,175,-,-
Colson Montgomery,SS,179,-0.61,5,20,75,72,5,0.25,-,-,160,-,-
Amed Rosario,SS/2B,UD,-0.65,5,10,55,58,8,0.293,-,-,95,-,-
Joey Ortiz,SS,UD,-2.35,6,12,52,58,8,0.265,-,-,105,-,-
J.P. Crawford,SS,316,-2.93,6,12,58,68,5,0.248,-,-,115,-,-
Orlando Arcia,SS,UD,-3.39,6,14,58,52,5,0.26,-,-,105,-,-
Jose Iglesias,SS,UD,-4.92,7,6,38,42,5,0.283,-,-,65,-,-
Jonathan Villar,SS,UD,-5.28,8,10,38,48,13,0.255,-,-,125,-,-
Elvis Andrus,SS,UD,-5.89,8,8,38,42,8,0.268,-,-,85,-,-
Jett Williams,SS,UD,-6.35,8,8,32,45,13,0.248,-,-,115,-,-
Andrelton Simmons,SS,UD,-8.78,8,6,32,32,5,0.252,-,-,55,-,-
Alcides Escobar,SS,UD,-11.72,8,4,20,22,5,0.252,-,-,65,-,-
