rank,team,championship_prob,championship_pct,final_four_prob,elite_eight_prob
1,Duke,0.1977,19.8%,0.4592,0.4592
2,Michigan,0.1697,17.0%,0.4547,0.4547
3,Arizona,0.1313,13.1%,0.4236,0.4236
4,Florida,0.1198,12.0%,0.4069,0.4069
5,UConn,0.0621,6.2%,0.223,0.223
6,Iowa State,0.0584,5.8%,0.2356,0.2356
7,Purdue,0.0515,5.1%,0.2326,0.2326
8,Houston,0.0424,4.2%,0.2288,0.2288
9,Michigan State,0.0275,2.8%,0.1388,0.1388
10,Virginia,0.0236,2.4%,0.131,0.131
11,Gonzaga,0.0229,2.3%,0.1384,0.1384
12,Illinois,0.0184,1.8%,0.1313,0.1313
13,Alabama,0.013,1.3%,0.0807,0.0807
14,Kansas,0.0118,1.2%,0.0755,0.0755
15,Nebraska,0.0099,1.0%,0.0843,0.0843
16,Arkansas,0.0092,0.9%,0.0824,0.0824
17,Wisconsin,0.0039,0.4%,0.0442,0.0442
18,Vanderbilt,0.0039,0.4%,0.0519,0.0519
19,St. John's,0.0037,0.4%,0.0361,0.0361
20,Louisville,0.0028,0.3%,0.0227,0.0227
21,Texas Tech,0.0026,0.3%,0.0359,0.0359
22,Tennessee,0.0026,0.3%,0.025,0.025
23,North Carolina,0.0023,0.2%,0.0383,0.0383
24,BYU,0.0019,0.2%,0.0294,0.0294
25,Kentucky,0.001,0.1%,0.0121,0.0121
26,UCLA,0.0007,0.1%,0.0184,0.0184
27,Miami,0.0007,0.1%,0.0195,0.0195
28,St. Mary's,0.0006,0.1%,0.0211,0.0211
29,Ohio State,0.0006,0.1%,0.0086,0.0086
30,Utah State,0.0006,0.1%,0.007,0.007
31,Clemson,0.0006,0.1%,0.0135,0.0135
32,Villanova,0.0006,0.1%,0.0099,0.0099
33,Georgia,0.0004,0.0%,0.0088,0.0088
34,TCU,0.0004,0.0%,0.0061,0.0061
35,St. Louis,0.0003,0.0%,0.0051,0.0051
36,McNeese,0.0001,0.0%,0.0028,0.0028
37,Furman,0.0001,0.0%,0.0008,0.0008
38,Hawaii,0.0001,0.0%,0.0014,0.0014
39,Miami OH/SMU,0.0001,0.0%,0.0037,0.0037
40,Texas/NC State,0.0001,0.0%,0.0035,0.0035
41,Iowa,0.0001,0.0%,0.0084,0.0084
