rank,team,seed,region,p_round_of_32,p_sweet_sixteen,p_elite_eight,p_final_four,cinderella_score
1,Texas A&M,10,south,0.0911,0.0293,0.005,0.005,2.93
2,VCU,11,south,0.096,0.0239,0.0046,0.0046,2.63
3,Missouri,10,west,0.094,0.026,0.0039,0.0039,2.6
4,Texas/NC State,11,west,0.09,0.0218,0.0035,0.0035,2.4
5,Miami OH/SMU,11,midwest,0.0875,0.0194,0.0037,0.0037,2.13
6,UCF,10,east,0.081,0.0213,0.0048,0.0048,2.13
7,Santa Clara,10,midwest,0.0762,0.02,0.0035,0.0035,2.0
8,South Florida,11,east,0.0853,0.0181,0.0029,0.0029,1.99
9,McNeese,12,south,0.0848,0.0145,0.0028,0.0028,1.74
10,High Point,12,west,0.0807,0.0126,0.0032,0.0032,1.51
11,Penn,14,south,0.0472,0.0103,0.0009,0.0009,1.44
12,Northern Iowa,12,east,0.0823,0.0107,0.0016,0.0016,1.28
